"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","SgatTran",17.78,22.48,23.13,4.97,6.36,6.56,7.77,9.91,10.22,15.39,27.45,44.08,8.57,20.46,34.94,11.01,23.44,38.98,14.76,24.17,32.52,6.85,12.95,16.63,9.36,16.86,22.0
"1","SgatFormer",24.15,28.71,29.37,13.29,15.33,15.6,17.15,19.99,20.37,23.75,34.44,45.73,18.75,27.0,37.47,20.96,30.27,41.19,21.46,27.37,29.82,13.27,15.96,16.94,16.4,20.16,21.61
"1","SgatODE",26.3,33.32,35.47,13.57,17.52,18.69,17.9,22.96,24.48,27.09,37.41,50.81,17.12,25.07,39.03,20.98,30.02,44.15,19.33,21.9,22.65,10.58,11.75,12.11,13.67,15.29,15.78
"1","SgatSDE",27.41,34.2,36.43,12.59,16.77,18.08,17.26,22.51,24.17,28.64,38.79,51.6,15.41,24.12,39.39,20.04,29.74,44.67,17.91,19.21,19.32,6.86,7.34,7.37,9.92,10.62,10.67
"3","SgatTran",19.43,24.19,24.88,7.28,8.78,9.0,10.59,12.88,13.22,18.52,30.06,44.87,15.29,25.84,36.64,16.75,27.79,40.34,18.04,28.12,35.59,13.79,21.14,24.52,15.63,24.14,29.04
"3","SgatFormer",24.31,29.7,30.48,14.72,16.84,17.19,18.34,21.5,21.99,23.12,33.46,45.95,21.44,29.02,37.87,22.25,31.08,41.52,22.83,31.6,37.19,20.15,25.2,27.67,21.41,28.04,31.73
"3","SgatODE",25.92,32.64,34.77,11.59,15.19,16.41,16.02,20.73,22.3,26.43,36.6,49.83,14.27,21.43,36.0,18.53,27.03,41.8,18.27,21.15,22.27,8.63,9.98,10.91,11.72,13.57,14.65
"3","SgatSDE",27.32,34.75,36.95,12.39,16.61,17.96,17.05,22.48,24.17,28.43,38.63,51.44,16.29,25.06,39.86,20.71,30.4,44.92,19.94,22.07,22.38,9.18,10.03,10.15,12.57,13.79,13.96
"5","SgatTran",17.15,22.0,22.69,4.43,5.83,6.03,7.04,9.21,9.53,16.08,27.97,44.13,10.42,21.81,33.44,12.64,24.51,38.05,15.81,26.5,36.48,9.72,18.57,23.56,12.04,21.84,28.63
"5","SgatFormer",24.19,29.44,30.21,15.03,17.13,17.46,18.54,21.66,22.13,23.22,33.4,46.05,20.64,28.25,37.82,21.86,30.61,41.53,23.22,32.23,38.54,19.82,25.02,27.66,21.39,28.17,32.21
"5","SgatODE",27.53,34.39,36.49,11.61,15.23,16.38,16.33,21.11,22.61,28.55,38.67,52.13,14.36,21.86,37.52,19.11,27.93,43.63,19.18,21.27,21.5,7.78,8.56,8.64,11.07,12.21,12.33
"5","SgatSDE",27.72,34.34,36.76,11.99,15.7,17.4,16.74,21.54,23.62,28.72,38.97,51.35,15.8,23.58,38.7,20.39,29.38,44.14,19.2,20.83,21.01,8.18,8.8,8.86,11.48,12.37,12.46
