"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","SgatTran",26.21,26.38,26.38,7.61,7.68,7.68,11.79,11.9,11.9,38.61,50.26,54.02,25.29,39.52,50.79,30.56,44.25,52.36,32.94,39.1,39.6,17.35,22.55,22.92,22.73,28.61,29.03
"1","SgatFormer",35.98,36.25,36.25,22.64,22.82,22.83,27.79,28.01,28.01,44.76,51.35,52.91,36.36,42.69,50.13,40.12,46.63,51.48,40.29,42.58,42.65,30.98,32.31,32.39,35.03,36.74,36.82
"1","SgatODE",42.42,43.1,43.1,22.14,22.57,22.57,29.1,29.63,29.63,53.07,62.31,66.63,33.08,46.21,61.4,40.76,53.07,63.91,23.84,23.96,23.96,10.84,10.93,10.93,14.91,15.01,15.01
"1","SgatSDE",43.64,44.25,44.25,23.92,24.42,24.42,30.9,31.47,31.47,54.25,62.73,66.72,35.1,47.37,60.94,42.62,53.98,63.7,24.71,24.82,24.82,11.63,11.7,11.7,15.82,15.9,15.9
"3","SgatTran",24.4,24.64,24.64,6.83,6.96,6.96,10.68,10.86,10.86,39.72,50.76,53.59,30.84,43.05,53.18,34.72,46.59,53.38,35.61,41.39,41.84,26.19,30.76,31.08,30.18,35.29,35.67
"3","SgatFormer",36.62,36.88,36.88,21.74,21.9,21.91,27.28,27.48,27.48,45.09,52.05,53.63,36.15,43.98,51.26,40.13,47.67,52.42,41.22,43.87,43.95,31.4,32.89,32.99,35.65,37.6,37.69
"3","SgatODE",41.64,42.23,42.23,18.97,19.37,19.37,26.07,26.56,26.56,52.66,61.84,66.48,29.35,42.22,59.23,37.69,50.18,62.65,17.64,17.65,17.65,7.45,7.45,7.45,10.47,10.48,10.48
"3","SgatSDE",42.46,43.09,43.09,20.65,21.07,21.07,27.79,28.3,28.3,53.78,62.41,66.15,32.85,46.01,59.76,40.79,52.97,62.79,21.7,21.79,21.79,8.95,9.0,9.0,12.67,12.74,12.74
"5","SgatTran",24.33,24.53,24.53,6.88,6.97,6.97,10.73,10.85,10.85,38.93,50.2,53.44,27.6,41.22,51.7,32.3,45.27,52.55,34.9,40.42,40.85,23.57,28.07,28.52,28.14,33.13,33.59
"5","SgatFormer",36.03,36.29,36.29,20.74,20.92,20.92,26.33,26.54,26.54,44.9,52.01,53.49,36.34,43.36,50.2,40.16,47.29,51.79,41.12,44.09,44.2,32.39,34.05,34.15,36.24,38.43,38.53
"5","SgatODE",41.21,41.81,41.81,18.15,18.58,18.58,25.2,25.73,25.73,52.9,62.41,66.7,28.52,42.75,60.3,37.06,50.74,63.34,20.75,20.79,20.79,7.22,7.25,7.25,10.71,10.76,10.76
"5","SgatSDE",42.34,42.98,42.98,20.45,20.88,20.88,27.58,28.11,28.11,53.09,62.17,66.26,31.2,44.5,59.68,39.3,51.87,62.8,19.89,19.95,19.95,8.14,8.2,8.2,11.56,11.62,11.62
