"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","SgatTran",22.58,22.76,22.76,6.49,6.57,6.58,10.08,10.2,10.2,33.64,45.16,48.9,20.81,35.98,46.32,25.71,40.05,47.58,29.06,34.68,35.13,13.8,17.58,17.87,18.72,23.33,23.68
"1","SgatFormer",30.84,31.09,31.09,18.18,18.33,18.33,22.88,23.06,23.07,39.64,46.3,48.01,31.95,38.53,44.67,35.38,42.06,46.28,32.44,33.89,33.93,21.86,22.64,22.68,26.12,27.15,27.19
"1","SgatODE",36.17,36.95,36.95,19.17,19.77,19.77,25.06,25.76,25.76,43.97,54.09,59.97,28.0,39.84,55.29,34.21,45.88,57.54,22.02,22.34,22.35,10.96,11.19,11.19,14.63,14.91,14.92
"1","SgatSDE",38.51,39.35,39.35,20.96,21.64,21.64,27.15,27.93,27.93,46.42,55.78,60.34,30.0,42.3,57.11,36.44,48.11,58.68,22.15,22.25,22.25,10.21,10.28,10.28,13.98,14.06,14.06
"3","SgatTran",21.38,21.59,21.59,6.06,6.15,6.15,9.45,9.58,9.58,34.5,44.88,47.62,26.64,38.58,47.34,30.07,41.49,47.48,30.74,36.04,36.38,21.52,25.81,26.06,25.31,30.08,30.37
"3","SgatFormer",31.58,31.85,31.85,18.65,18.79,18.79,23.45,23.64,23.64,39.31,46.26,48.02,31.56,39.21,46.12,35.01,42.45,47.05,35.67,37.94,38.0,26.37,27.59,27.66,30.32,31.95,32.02
"3","SgatODE",36.52,37.31,37.31,16.9,17.33,17.33,23.11,23.67,23.67,44.63,54.43,60.28,25.18,36.2,53.1,32.19,43.48,56.46,17.23,17.28,17.28,8.01,8.03,8.03,10.93,10.97,10.97
"3","SgatSDE",37.62,38.49,38.49,18.35,19.05,19.05,24.66,25.49,25.49,45.62,54.65,59.3,28.29,40.85,54.85,34.92,46.76,56.99,19.17,19.22,19.22,7.96,8.0,8.0,11.25,11.3,11.3
"5","SgatTran",21.83,22.03,22.03,6.16,6.24,6.24,9.61,9.72,9.72,34.5,45.06,48.12,24.39,36.94,45.96,28.58,40.6,47.01,31.12,36.32,36.7,19.78,23.62,23.91,24.19,28.62,28.96
"5","SgatFormer",31.17,31.44,31.44,17.77,17.92,17.92,22.63,22.83,22.83,38.65,45.65,47.27,31.67,39.08,44.5,34.82,42.11,45.84,35.36,38.19,38.3,27.31,29.07,29.17,30.82,33.01,33.11
"5","SgatODE",37.09,37.86,37.86,16.34,16.93,16.93,22.69,23.4,23.4,45.06,55.09,60.08,22.92,36.25,54.08,30.39,43.73,56.93,19.83,19.87,19.87,7.1,7.13,7.13,10.46,10.49,10.49
"5","SgatSDE",37.77,38.61,38.61,18.38,18.89,18.89,24.73,25.37,25.37,45.72,55.08,59.75,26.17,38.3,54.54,33.29,45.18,57.03,17.71,17.78,17.78,7.25,7.31,7.31,10.29,10.37,10.37
