"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1","SgatSDE",32.24,33.27,33.27,18.03,18.9,18.9,23.12,24.1,24.1,38.95,47.47,52.28,25.63,35.71,50.06,30.91,40.76,51.15,18.82,18.88,18.88,8.83,8.85,8.85,12.02,12.05,12.05
"3","Baseline",18.44,18.68,18.68,5.27,5.36,5.36,8.19,8.33,8.33,29.84,38.66,41.23,23.21,33.17,40.81,26.11,35.71,41.02,26.25,30.78,31.12,18.17,21.67,21.88,21.47,25.43,25.7
"3","Sgatformer",26.66,26.96,26.96,16.09,16.24,16.24,20.07,20.27,20.27,33.77,39.98,41.65,27.54,34.64,40.96,30.34,37.12,41.3,30.11,32.14,32.21,22.45,23.61,23.66,25.72,27.22,27.28
"3","SgatODE",30.54,31.46,31.47,14.93,15.45,15.46,20.05,20.73,20.73,36.83,45.86,51.78,21.59,30.79,48.0,27.22,36.84,49.82,15.4,15.49,15.51,7.84,7.9,7.9,10.39,10.46,10.47
"3","SgatSDE",32.19,33.26,33.27,15.82,16.56,16.57,21.21,22.12,22.12,38.39,46.93,51.77,23.51,34.96,49.58,29.16,40.07,50.65,16.71,16.76,16.76,7.07,7.1,7.1,9.94,9.98,9.98
"5","Baseline","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Sgatformer","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE",32.48,33.53,33.54,16.04,16.61,16.61,21.47,22.22,22.22,38.81,47.4,52.26,22.09,32.68,49.48,28.15,38.68,50.83,15.53,15.57,15.57,6.6,6.63,6.63,9.26,9.3,9.3
