"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","SgatTran",30.56,31.97,31.97,9.71,10.23,10.23,14.73,15.5,15.5,38.89,57.45,65.02,20.47,39.15,57.3,26.82,46.57,60.92,34.16,43.28,44.11,14.53,19.98,20.54,20.39,27.34,28.03
"1","SgatFormer",39.39,40.75,40.76,18.89,19.77,19.78,25.54,26.63,26.63,47.47,60.31,65.16,30.5,43.93,58.65,37.14,50.83,61.74,35.5,37.99,38.15,18.49,20.36,20.48,24.32,26.51,26.65
"1","SgatODE",37.08,39.52,39.55,17.12,18.66,18.69,23.42,25.35,25.39,43.13,56.22,64.44,23.42,36.48,57.12,30.36,44.25,60.56,25.21,25.87,25.87,11.47,11.75,11.75,15.77,16.16,16.16
"1","SgatSDE",38.92,41.47,41.51,16.73,18.97,18.99,23.4,26.03,26.06,45.72,58.43,65.18,22.21,36.13,59.21,29.89,44.65,62.05,22.24,22.45,22.45,7.61,7.69,7.69,11.34,11.46,11.46
"3","SgatTran",31.81,33.23,33.23,8.67,9.2,9.21,13.62,14.41,14.42,39.06,56.47,64.94,17.64,35.51,55.51,24.31,43.61,59.86,34.98,44.59,46.54,13.74,21.29,23.32,19.73,28.82,31.07
"3","SgatFormer",39.92,41.43,41.43,19.69,20.38,20.38,26.37,27.32,27.32,46.87,60.34,65.25,31.04,45.39,58.7,37.35,51.81,61.81,41.91,47.13,47.63,24.77,28.7,29.06,31.14,35.67,36.09
"3","SgatODE",34.93,37.32,37.34,15.1,16.59,16.61,21.09,22.97,22.99,40.52,54.08,63.94,19.63,31.59,55.79,26.45,39.88,59.59,22.38,23.91,24.18,9.71,10.48,10.61,13.54,14.57,14.75
"3","SgatSDE",39.67,42.22,42.26,18.35,20.51,20.54,25.09,27.61,27.65,46.88,59.14,65.25,24.61,37.77,59.01,32.28,46.1,61.98,21.36,21.53,21.53,8.65,8.72,8.72,12.31,12.41,12.41
"5","SgatTran",34.06,35.5,35.51,9.1,9.63,9.64,14.37,15.16,15.16,39.82,56.63,64.89,17.41,34.75,54.76,24.22,43.07,59.4,36.15,45.38,47.48,13.55,20.65,22.78,19.71,28.39,30.79
"5","SgatFormer",40.47,42.0,42.0,19.59,20.29,20.29,26.4,27.36,27.37,47.27,60.46,65.26,31.43,44.69,58.62,37.76,51.39,61.76,43.93,49.89,50.47,26.79,31.51,31.94,33.28,38.62,39.12
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
