"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","SgatTran",34.59,36.18,36.18,11.02,11.61,11.61,16.71,17.58,17.58,43.91,64.86,73.15,23.18,43.85,62.65,30.34,52.32,67.49,39.07,49.84,50.89,16.89,23.97,24.74,23.59,32.37,33.29
"1","SgatFormer",44.97,46.56,46.57,22.1,23.15,23.15,29.64,30.92,30.93,53.87,67.98,73.38,33.81,48.54,63.99,41.54,56.64,68.36,43.39,46.86,47.05,23.15,25.83,25.93,30.2,33.3,33.44
"1","SgatODE",43.09,45.79,45.81,20.03,21.86,21.89,27.35,29.6,29.63,49.63,64.11,72.82,25.99,39.72,62.89,34.11,49.05,67.49,28.62,29.12,29.12,12.69,12.9,12.9,17.58,17.88,17.88
"1","SgatSDE",43.8,46.6,46.62,18.9,21.11,21.16,26.4,29.06,29.11,51.35,65.65,73.37,24.41,39.96,63.8,33.09,49.68,68.25,24.29,24.43,24.43,8.36,8.41,8.41,12.44,12.52,12.52
"3","SgatTran",37.4,38.98,38.99,10.07,10.68,10.68,15.87,16.76,16.76,43.87,63.57,73.05,19.69,39.7,59.39,27.18,48.88,65.52,40.14,51.98,54.5,16.18,26.46,29.27,23.07,35.07,38.09
"3","SgatFormer",45.5,47.22,47.23,22.02,22.94,22.94,29.68,30.88,30.89,52.8,67.9,73.42,33.66,49.37,63.96,41.11,57.17,68.37,48.61,55.26,55.95,28.48,33.76,34.16,35.92,41.91,42.42
"3","SgatODE",40.71,43.38,43.4,17.39,19.24,19.31,24.37,26.66,26.73,47.01,62.21,72.4,22.78,35.22,60.25,30.68,44.98,65.77,24.87,25.93,26.06,10.57,11.31,11.38,14.84,15.75,15.84
"3","SgatSDE",44.96,47.66,47.69,20.74,23.01,23.08,28.38,31.04,31.11,52.53,66.42,73.46,26.61,40.75,63.77,35.32,50.51,68.27,23.49,23.67,23.67,9.39,9.46,9.46,13.42,13.52,13.52
"5","SgatTran",39.05,40.65,40.65,10.39,10.98,10.98,16.41,17.28,17.29,44.74,63.8,72.98,19.36,38.74,59.88,27.03,48.21,65.78,41.07,52.0,54.56,15.53,24.63,27.35,22.54,33.43,36.44
"5","SgatFormer",46.01,47.71,47.72,22.53,23.45,23.46,30.25,31.45,31.45,53.29,67.98,73.44,34.42,49.32,63.66,41.82,57.16,68.2,50.25,57.25,57.99,30.42,36.24,36.63,37.89,44.39,44.9
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
