"Anticipation Loss","Method Name","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50","R@10","R@20","R@50","mR@10","mR@20","mR@50","hR@10","hR@20","hR@50"
"1","SgatTran",45.82,47.18,47.19,14.54,15.13,15.13,22.08,22.91,22.92,61.7,85.31,92.89,34.19,58.63,81.21,44.0,69.5,86.66,55.04,67.45,68.59,28.12,38.17,39.22,37.22,48.75,49.91
"1","SgatFormer",62.1,63.51,63.52,32.51,33.36,33.36,42.68,43.74,43.75,74.42,88.98,93.16,48.99,63.46,82.76,59.08,74.08,87.65,66.84,72.95,73.3,41.62,46.67,46.9,51.3,56.92,57.2
"1","SgatODE",59.68,61.33,61.34,27.87,28.88,28.89,38.0,39.27,39.28,73.15,87.18,93.33,39.55,57.45,83.42,51.34,69.26,88.1,36.08,36.41,36.41,14.91,15.04,15.04,21.1,21.29,21.29
"1","SgatSDE",58.8,60.41,60.41,26.43,27.68,27.68,36.46,37.96,37.96,73.59,87.39,93.45,37.61,56.15,87.11,49.78,68.37,90.17,31.26,31.4,31.4,11.02,11.09,11.09,16.3,16.39,16.39
"3","SgatTran",50.81,52.14,52.14,13.76,14.3,14.31,21.66,22.45,22.45,61.01,83.52,92.79,28.58,51.49,78.74,38.93,63.71,85.19,54.53,68.16,70.79,23.96,37.35,40.63,33.29,48.25,51.63
"3","SgatFormer",62.3,63.72,63.72,31.75,32.51,32.52,42.07,43.05,43.06,72.74,88.35,93.2,47.61,63.04,82.81,57.55,73.58,87.7,67.76,75.68,76.42,42.59,48.88,49.43,52.3,59.4,60.03
"3","SgatODE",58.15,59.77,59.77,24.96,26.37,26.37,34.92,36.6,36.6,72.6,86.73,93.2,35.04,51.72,80.2,47.27,64.8,86.21,30.25,30.34,30.34,10.8,10.84,10.84,15.92,15.97,15.97
"3","SgatSDE",60.29,61.93,61.93,28.47,29.8,29.81,38.68,40.24,40.24,74.83,88.02,93.47,40.03,57.71,87.2,52.16,69.71,90.23,30.01,30.12,30.12,11.36,11.41,11.41,16.48,16.55,16.55
"5","SgatTran",50.22,51.54,51.54,13.42,13.92,13.92,21.19,21.92,21.92,61.54,83.41,92.67,28.17,51.23,74.92,38.65,63.47,82.85,54.78,67.23,69.74,23.15,35.47,38.56,32.55,46.44,49.66
"5","SgatFormer",61.88,63.31,63.31,32.46,33.32,33.32,42.59,43.66,43.66,73.3,88.63,93.21,48.25,63.45,82.75,58.19,73.95,87.67,68.23,75.78,76.38,43.59,49.6,50.07,53.19,59.96,60.49
"5","SgatODE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","SgatSDE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
