"Mode","Method Name","Train Num Future Frames","Test Num Future Frames","Context Fraction","Status"
"sgcls","baseline_so_gen_loss","1","3","",False
"sgcls","baseline_so_gen_loss","1","4","",False
"sgcls","baseline_so_gen_loss","1","5","",False
"sgcls","baseline_so_gen_loss","1","","0.3",False
"sgcls","baseline_so_gen_loss","1","","0.5",False
"sgcls","baseline_so_gen_loss","1","","0.7",False
"sgcls","baseline_so_gen_loss","1","","0.9",False
"sgcls","baseline_so_gen_loss","3","1","",True
"sgcls","baseline_so_gen_loss","3","2","",True
"sgcls","baseline_so_gen_loss","3","3","",True
"sgcls","baseline_so_gen_loss","3","4","",True
"sgcls","baseline_so_gen_loss","3","5","",True
"sgcls","baseline_so_gen_loss","3","","0.3",True
"sgcls","baseline_so_gen_loss","3","","0.5",True
"sgcls","baseline_so_gen_loss","3","","0.7",True
"sgcls","baseline_so_gen_loss","3","","0.9",True
"sgcls","baseline_so_gen_loss","5","1","",False
"sgcls","baseline_so_gen_loss","5","2","",False
"sgcls","baseline_so_gen_loss","5","3","",False
"sgcls","baseline_so_gen_loss","5","4","",False
"sgcls","baseline_so_gen_loss","5","5","",False
"sgcls","baseline_so_gen_loss","5","","0.3",False
"sgcls","baseline_so_gen_loss","5","","0.5",False
"sgcls","baseline_so_gen_loss","5","","0.7",False
"sgcls","baseline_so_gen_loss","5","","0.9",False
"sgcls","ode","1","1","",False
"sgcls","ode","1","2","",False
"sgcls","ode","1","3","",False
"sgcls","ode","1","4","",False
"sgcls","ode","1","5","",False
"sgcls","ode","1","","0.3",False
"sgcls","ode","1","","0.5",False
"sgcls","ode","1","","0.7",False
"sgcls","ode","1","","0.9",False
"sgcls","ode","3","1","",True
"sgcls","ode","3","2","",True
"sgcls","ode","3","3","",True
"sgcls","ode","3","4","",True
"sgcls","ode","3","5","",True
"sgcls","ode","3","","0.3",True
"sgcls","ode","3","","0.5",True
"sgcls","ode","3","","0.7",True
"sgcls","ode","3","","0.9",True
"sgcls","ode","5","1","",False
"sgcls","ode","5","2","",False
"sgcls","ode","5","3","",False
"sgcls","ode","5","4","",False
"sgcls","ode","5","5","",False
"sgcls","ode","5","","0.3",False
"sgcls","ode","5","","0.5",False
"sgcls","ode","5","","0.7",False
"sgcls","ode","5","","0.9",False
"sgcls","sde","1","1","",True
"sgcls","sde","1","2","",True
"sgcls","sde","1","3","",True
"sgcls","sde","1","4","",True
"sgcls","sde","1","5","",True
"sgcls","sde","1","","0.3",True
"sgcls","sde","1","","0.5",True
"sgcls","sde","1","","0.7",True
"sgcls","sde","1","","0.9",True
"sgcls","sde","3","1","",True
"sgcls","sde","3","2","",True
"sgcls","sde","3","3","",True
"sgcls","sde","3","4","",True
"sgcls","sde","3","5","",True
